name,district,latitude,longitude,type
Adivibadabavada,Tamil Nadu,12.8033917,78.3245867,village
Adivikandriga,Tamil Nadu,13.4118814,79.7550486,village
Adivikandriga,Tamil Nadu,13.4212564,79.8060264,village
Adivikodiyambattu,Tamil Nadu,13.3524364,79.8064995,village
Adivinathunikunta,Tamil Nadu,13.4069602,78.5987204,village
Adivipalle,Tamil Nadu,13.2933523,79.124328,village
Adivisankarapuram,Tamil Nadu,13.3205235,79.7927053,village
Adivāram,Tamil Nadu,12.2893949,78.6927938,village
Adiyakkamangalam,Tamil Nadu,10.7645622,79.6798148,village
Adiyamangalam,Tamil Nadu,11.0940715,79.6724009,village
Adiyani,Tamil Nadu,9.2946143,76.7812115,neighborhood
Adoor,Tamil Nadu,9.1529656,76.7355742,town
Adoor Bus Station,Tamil Nadu,9.1528366,76.7330773,bus_stop
Adugapatti,Tamil Nadu,10.2201172,78.687129,village
Adukallamulla,Tamil Nadu,8.9979539,76.9239781,neighborhood
Adukkamparai,Tamil Nadu,12.8454374,79.1351952,town
Adup Para Colony,Tamil Nadu,9.13904,76.8096527,neighborhood
Aduru,Tamil Nadu,13.0559357,77.7051427,village
Adusupalle Hw,Tamil Nadu,13.4411828,79.1251813,village
Aduthurai,Tamil Nadu,11.4003373,79.0546133,village
Aduturai,Tamil Nadu,11.0173474,79.4802463,bus_stop
Aduturai,Tamil Nadu,11.0146785,79.4791181,village
Aduvankuttupatty,Tamil Nadu,11.2714081,78.3793897,village
Advalli,Tamil Nadu,13.0073183,76.1162368,neighborhood
Advangudy,Tamil Nadu,10.8285175,79.4520552,village
Adventure,Tamil Nadu,11.9916911,79.8074385,neighborhood
Aeirakkanni,Tamil Nadu,10.4181396,79.5068542,village
Aerom,Tamil Nadu,8.9500024,76.8918858,neighborhood
Agachahalli,Tamil Nadu,12.9718228,76.7154075,village
Agalagunte,Tamil Nadu,13.386143,77.040856,village
Agalagurki,Tamil Nadu,13.4139653,77.7390633,village
Agalahalli,Tamil Nadu,13.044189,76.0288427,village
Agalakote,Tamil Nadu,12.9067836,77.1683736,village
Agalakuppe,Tamil Nadu,13.231851,77.2288339,village
Agalangan,Tamil Nadu,10.6978642,79.7922991,village
Agalanganallurr,Tamil Nadu,10.9013714,78.812828,village
Agali,Tamil Nadu,11.1057095,76.6547629,village
Agalukote,Tamil Nadu,13.2134815,77.7364019,village
Agamalai Village,Tamil Nadu,10.1092369,77.4218204,village
Agani,Tamil Nadu,11.2432146,79.7138786,village
Agara,Tamil Nadu,12.11511,77.0736938,village
Agara,Tamil Nadu,13.2798992,78.3351235,village
Agara,Tamil Nadu,12.8446015,77.4879398,village
Agara,Tamil Nadu,13.0144088,78.0489005,village
Agara,Tamil Nadu,12.6201123,77.4793074,village
Agara,Tamil Nadu,13.0386734,77.6468085,neighborhood
Agara,Tamil Nadu,12.9221405,77.6479366,neighborhood
Agara Adanur,Tamil Nadu,11.0535265,79.701135,village
Agara Elatur,Tamil Nadu,11.259509,79.6577024,village
