name,type,latitude,longitude,district,state,osm_id
Kadukunte,hamlet,13.4228076,77.4397516,Unknown,Tamil Nadu,6800069807
Palli Chandai,hamlet,9.8604907,78.1904375,Madurai,Tamil Nadu,6810049657
Devareddipalli,hamlet,13.4311587,78.2812035,Unknown,Tamil Nadu,6812907528
Sittal,hamlet,9.31466,78.7499034,Ramanathapuram,Tamil Nadu,6833102497
Agaram,hamlet,9.3171904,78.7665438,Ramanathapuram,Tamil Nadu,6833102498
Vella,hamlet,9.3272693,78.7630677,Ramanathapuram,Tamil Nadu,6833102499
Deyvachchilainallur,hamlet,9.324432,78.7513518,Ramanathapuram,Tamil Nadu,6833102500
Akkamallana Hundi,hamlet,12.2647168,77.0073152,Unknown,Tamil Nadu,6848648502
Marigaudanadoddi,hamlet,12.3484703,77.2207439,Unknown,Tamil Nadu,6848648509
Muddegowdana Doddi,hamlet,12.4131278,76.9879442,Unknown,Tamil Nadu,6852473811
Kumbara Koppalu,hamlet,12.544688,76.5843201,Unknown,Tamil Nadu,6852738092
Kyathangere,hamlet,12.5067268,76.877051,Unknown,Tamil Nadu,6858660550
Mallana Koppalu,hamlet,12.8892062,76.8790519,Unknown,Tamil Nadu,6868150988
Channapura,hamlet,12.7065815,76.7486402,Unknown,Tamil Nadu,6871716456
Mettupatti,hamlet,9.8490006,78.6429691,Sivaganga,Tamil Nadu,6898451767
Pulikkanmoi,hamlet,9.8173715,78.623507,Sivaganga,Tamil Nadu,6898524414
Valayampatti,hamlet,9.8221023,78.6359739,Sivaganga,Tamil Nadu,6898524415
Sevalkanmoi,hamlet,9.8250095,78.6449754,Sivaganga,Tamil Nadu,6898524416
Iruppanpoochi,hamlet,9.8141365,78.6399007,Sivaganga,Tamil Nadu,6898634817
Sathapuli,hamlet,9.8600151,78.595022,Sivaganga,Tamil Nadu,6898674319
Kollangudi,hamlet,9.8555966,78.5905909,Sivaganga,Tamil Nadu,6898674320
Ariyakkurichi,hamlet,9.849064,78.5879516,Sivaganga,Tamil Nadu,6898674348
Korlahalli,hamlet,13.3924481,77.6215249,Unknown,Tamil Nadu,6942659238
Elumapatti,hamlet,10.0264137,78.6807454,Sivaganga,Tamil Nadu,6990774778
Purandi,hamlet,10.0020711,78.6499643,Sivaganga,Tamil Nadu,6990837521
Nagenahalli,hamlet,13.4809956,77.2297561,Unknown,Tamil Nadu,7004652539
Navilakurike,hamlet,13.4873546,77.2166884,Unknown,Tamil Nadu,7004652540
Maragondanahalli,hamlet,13.3006312,76.4014149,Unknown,Tamil Nadu,7082734387
Sanjivana Palya,hamlet,13.0858008,77.1504217,Unknown,Tamil Nadu,7110754885
Ganganahalli,hamlet,13.0355196,77.014718,Unknown,Tamil Nadu,7123085568
Dummanahalli,hamlet,13.0644082,76.8156659,Unknown,Tamil Nadu,7124250222
Kurupalya,hamlet,13.0031517,77.0675307,Unknown,Tamil Nadu,7124250520
Bommenahalli,hamlet,12.9930794,77.0966756,Unknown,Tamil Nadu,7124250557
Iralagere,hamlet,13.3265028,76.5361798,Unknown,Tamil Nadu,7176007081
Vittalapura,hamlet,13.3359142,76.4209628,Unknown,Tamil Nadu,7176007082
